"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"STR_VPPAT_NAME","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","Vanilla++ AdminTools","VPP管理工具"
"VSTR_SESSION_DISCONNECT","Session Disconnect","Session Disconnect","Session Disconnect","Session Disconnect","Отключение сеанса. ","Session Disconnect","Session Disconnect","Session Disconnect","Session Disconnect","Déconnexion de session","Session Disconnect","Session Disconnect","Session Disconnect","会话断开"
"VSTR_ERROR_UPDATE_BUILDINGSET","Something went wrong! Unable to update set","Something went wrong! Unable to update set","Something went wrong! Unable to update set","Something went wrong! Unable to update set","Что-то пошло не так. Невозможно обновить пресет. ","Something went wrong! Unable to update set","Something went wrong! Unable to update set","Something went wrong! Unable to update set","Something went wrong! Unable to update set","Quelque chose s'est mal passé ! Impossible de mettre à jour l'ensemble","Something went wrong! Unable to update set","Something went wrong! Unable to update set","Something went wrong! Unable to update set","出了些问题！无法更新设置"
"VSTR_ERROR_DELETE_BUILDINGSET","Something went wrong! Unable to delete set!","Something went wrong! Unable to delete set!","Something went wrong! Unable to delete set!","Something went wrong! Unable to delete set!","Что-то пошло не так. Невозможно удалить пресет. ","Something went wrong! Unable to delete set!","Something went wrong! Unable to delete set!","Something went wrong! Unable to delete set!","Something went wrong! Unable to delete set!","Quelque chose s'est mal passé ! Impossible de supprimer l'ensemble !","Something went wrong! Unable to delete set!","Something went wrong! Unable to delete set!","Something went wrong! Unable to delete set!","出了些问题！ 无法删除设置！"
"VSTR_MISSING_PERM","You may not have the permission to use that command on some","You may not have the permission to use that command on some","You may not have the permission to use that command on some","You may not have the permission to use that command on some","У вас нет разрешений на использование этой команды.","You may not have the permission to use that command on some","You may not have the permission to use that command on some","You may not have the permission to use that command on some","You may not have the permission to use that command on some","Vous n'avez peut-être pas la permission d'utiliser cette commande sur certains ou tous vos cibles.","You may not have the permission to use that command on some","You may not have the permission to use that command on some","You may not have the permission to use that command on some","您可能无权在某些或所有目标上使用该命令。"
"VSTR_UPDATED_PERM_SETTING","Settings updated for group","Settings updated for group","Settings updated for group","Settings updated for group","Настройки группы обновлены.","Settings updated for group","Settings updated for group","Settings updated for group","Settings updated for group","Paramètres mis à jour pour le groupe","Settings updated for group","Settings updated for group","Settings updated for group","已更新群组设置"
"VSTR_PERMS_REMOVE_USER","Removing User:","Removing User:","Removing User:","Removing User:","Удаление пользователя:","Removing User:","Removing User:","Removing User:","Removing User:","Suppression de l'utilisateur :","Removing User:","Removing User:","Removing User:","删除用户："
"VSTR_FROM_GROUP","from group:","from group:","from group:","from group:","из группы:","from group:","from group:","from group:","from group:","du groupe :","from group:","from group:","from group:","来自组："
"VSTR_ERROR_USER_SUPERADMIN","Error: User is a Super Admin","Error: User is a Super Admin","Error: User is a Super Admin","Error: User is a Super Admin","Ошибка: Пользователь является суперадминистратором.","Error: User is a Super Admin","Error: User is a Super Admin","Error: User is a Super Admin","Error: User is a Super Admin","Erreur : L'utilisateur est un Super Admin","Error: User is a Super Admin","Error: User is a Super Admin","Error: User is a Super Admin","错误：用户是超级管理员"
"VSTR_ERROR_INVALID_GROUP","Error: Invalid UserGroup","Error: Invalid UserGroup","Error: Invalid UserGroup","Error: Invalid UserGroup","Ошибка: неверная группа пользователей","Error: Invalid UserGroup","Error: Invalid UserGroup","Error: Invalid UserGroup","Error: Invalid UserGroup","Erreur : Groupe d'utilisateurs invalide ","Error: Invalid UserGroup","Error: Invalid UserGroup","Error: Invalid UserGroup","错误：用户组无效"
